,ID3ROG3,Latitude,Longitude
299,14392AR,-23.0414,-62.26324
300,10429AM,40.28995,44.93408
301,10464AM,39.81558,44.78522
302,10528AM,40.38793,45.54902
303,11065AM,40.714277,43.909442
304,19007AM,40.10023,44.47668
305,11234AM,40,44.5
306,11865AM,41.161586,44.626523
307,11942AM,40.089311,44.334254
308,12877AM,40.45396,43.75905
309,13775AM,40.199352,44.526667
310,13809AM,40.168,44.52
311,10430AM,39.9024,44.86378
312,14571AM,40.184964,44.545028
313,14598AM,40.857887,44.113293
314,15284AM,40.836098,45.106639
315,15684AM,40.134717,44.51774
316,15696AM,40.722562,45.247545
317,20455AM,40.233333,44.25
318,15741AA,12.524893,-70.016286
319,10350AA,12.50784,-69.96951
320,19007AA,12.5145,-69.98502
321,11659AA,12.5249,-69.97633
322,15175AA,12.5299,-70.018415
323,12035AA,12.533245,-70.037693
324,12051AA,12.532358,-70.03003
325,12316AA,12.534573,-70.02045
326,19209AA,12.51924356,-70.02252669
327,10134AS,-18.135,137.669
328,11539AS,-26.2925,132.1283
329,18874AS,-31.89877953,115.9061192
330,20718AS,-30.581052,138.979477
331,19314AS,-37.807867,144.951575
332,10168AS,-32.902739,149.782181
333,19207AS,-33.744347,151.073894
334,10259AS,-21.04266,136.83489
335,15741AS,-33.8674,151.207114
336,10294AS,-37.744,144.95
337,10311AS,-13.99904,136.6415
338,10326AS,-35.35317886,149.2330581
339,10328AS,-33.922327,151.16081
340,10329AS,-33.75466652,151.0065395
341,10330AS,-33.1842,116.26259
342,15007AS,-32.902916,149.781917
343,10334AS,-22.22145,133.30669
344,11722AS,-31.9554,115.85859
345,19204AS,-33.8678,151.2078
346,12247AS,-37.812986,144.886962
347,15104AS,-37.767235,144.96448
348,15154AS,-33.8672,151.207114
349,15355AS,-23.9178,133.1826
350,10429AS,-33.8677,151.2077
351,11683AS,-23.35801,135.0487
352,10464AS,-33.882135,151.072065
353,10491AS,-33.881076,151.174596
354,10530AS,-16.61194,122.90546
355,20720AS,-28.390496,152.611481
356,11065AS,-33.850363,150.770462
357,10953AS,-33.928568,151.19899
358,11140AS,-34.92577,138.599732
359,10998AS,-34.92298177,138.6031405
360,20719AS,-18.192775,125.565676
361,11026AS,-12.28718,134.31561
362,11029AS,-37.893995,144.626576
363,15799AS,-33.889973,151.15915
364,11335AS,-33.914841,151.15394
365,12037AS,-37.8,145.07
366,11415AS,-33.92,151.2
367,11437AS,-32.85761468,149.9733358
368,11456AS,-33.884441,151.14741
369,11458AS,-35.32645668,149.1306929
370,11496AS,-37.712,145.02
371,20721AS,-12.025614,135.56648
372,19007AS,-33.91159742,151.1808794
373,18815AS,-33.890103,151.181176
374,11543AS,-11.91093,135.80843
375,20971AS,-14.826832,135.031477
376,20992AS,-12.255,136.8912
377,11574AS,-12.02098,135.59014
378,20722AS,-15.407832,130.142319
379,11577AS,-12.02861,134.10939
380,11578AS,-12.47145,134.84589
381,11579AS,-12.95169,134.9219
382,11659AS,-33.8674,151.2074
383,11157AS,-33.8676,151.2076
384,11200AS,-33.95122,151.216558
385,11201AS,-37.85,145.25
386,15175AS,-33.8673,151.207114
387,11205AS,-33.8811709,151.192294
388,11234AS,-37.81425,144.96318
389,11801AS,-21.50813,133.71023
390,11824AS,-17.20783,137.63048
391,11871AS,-35.2312707,149.0688049
392,16842AS,-33.894017,151.110515
393,20723AS,-18.292466,125.586752
394,11942AS,-34.92577,138.6
395,20724AS,-15.471598,141.743976
396,20621AS,-15.297183,145.113757
397,11982AS,-37.71,144.79
398,11991AS,-12.25534,136.82386
399,11998AS,-12.33983,133.35778
400,11999AS,-12.19272,135.32979
401,21564AS,-12.298,134.262
402,20991AS,-17.4378,130.8316
403,12003AS,-17.0598,130.36509
404,12057AS,-33.873693,151.206982
405,12054AS,-34.045391,150.877976
406,12051AS,-27.46233833,153.0362995
407,11344AS,-33.89,151.09
408,11345AS,-37.73,144.95
409,12076AS,-27.633275,153.127326
410,18495AS,-35.33088,149.156133
411,12155AS,-32.8312,150.139008
412,12161AS,-33.875151,151.153507
413,12189AS,-33.86,151.07
414,18503AS,-36.5588,145.468994
415,12256AS,-32.831,150.1391
416,12273AS,-33.867139,151.2074
417,12296AS,-11.51794,132.58238
418,12322AS,-33.867139,151.2073
419,11576AS,-18.11152,128.53978
420,17000AS,-21.15331389,149.1782509
421,12347AS,-33.867139,151.2072
422,14881AS,-33.889973,151.15915
423,12662AS,-37.954,145.146
424,12725AS,-17.49287,127.42663
425,12795AS,-33.93077092,151.1078872
426,11244AS,-33.882749,151.184511
427,11268AS,-20.29658,127.70093
428,11974AS,-16.04554,145.16704
429,21563AS,-29.67174,152.9384
430,11994AS,-11.92057,133.7584
431,12861AS,-16.64843,143.53215
432,12877AS,-37.81426,144.963169
433,12893AS,-12.5081,143.11383
434,12989AS,-35.328804,149.140125
435,13007AS,-37.81425,144.9632
436,13077AS,-32.902836,149.781725
437,14021AS,-9.951723,142.183763
438,13186AS,-37.81428,144.963169
439,13437AS,-37.81425,144.96319
440,11399AS,-10.492947,105.629265
441,13460AS,-32.831001,150.139
442,13483AS,-35.170346,149.13318
443,13522AS,-27.46052132,153.030148
444,13556AS,-24.30166,122.02575
445,13591AS,-11.81584,133.19816
446,12213AS,-33.904821,151.167667
447,13734AS,-9.91044,144.05763
448,20725AS,-15.776437,128.742644
449,18605AS,-33.79,151.11
450,13885AS,-14.74852,129.70152
451,13924AS,-12.07449,134.29963
452,13947AS,-14.26697,131.16512
453,20726AS,-35.507855,139.132181
454,13316AS,-19.28715551,146.7738657
455,13317AS,-33.86,151.17
456,13333AS,-13.78231,133.98152
457,13340AS,-15.50219,130.64996
458,13341AS,-16.34724,126.46321
459,13342AS,-32.90267,149.78195
460,14045AS,-33.913,151.14
461,13909AS,-33.81,151.22
462,14066AS,-14.26229,135.75267
463,14088AS,-25.59911,127.76648
464,14090AS,-20.73496,121.58422
465,14095AS,-32.902439,149.781841
466,20728AS,-33.01847,116.890633
467,19652AS,-33.908396,151.141843
468,14303AS,-22.76183,118.73796
469,14256AS,-33.8104,151.112462
470,14371AS,-33.8672,151.2072
471,14400AS,-29.93756,127.5149
472,14401AS,-32.902541,149.782083
473,13159AS,-23.29628,130.64348
474,14410AS,-32.902625,149.781664
475,14414AS,-26.97044,131.35737
476,14431AS,-33.8673,151.2073
477,14449AS,-33.8957823,151.1540539
478,10991AS,-33.976723,151.2448
479,14483AS,-33.75,151.27
480,14539AS,-13.00821,134.27635
481,14561AS,-13.52623,135.19142
482,11359AS,-33.93,151.18
483,14570AS,-33.96863605,151.1106088
484,14571AS,-37.80503,144.96705
485,14598AS,-37.81425,144.96317
486,14676AS,-33.92025,151.153434
487,14864AS,-33.8675,151.2075
488,14917AS,-33.92,151.24
489,14196AS,-33.971857,151.231874
490,14962AS,-37.81427,144.963169
491,14964AS,-33.920491,151.254401
492,14983AS,-33.95,151.23
493,10790AS,-37.79,144.87
494,19211AS,-33.91265396,150.9139262
495,15077AS,-33.867139,151.207114
496,15145AS,-33.787,150.9
497,15148AS,-33.79,151.1
498,18211AS,-37.74,144.76
499,15459AS,-14.82163,142.01589
500,11277AS,-37.98718,145.21426
501,15481AS,-37.65,144.9
502,15506AS,-11.56136,130.80932
503,21574AS,-28.054486,120.055392
504,15554AS,-35.429104,149.065519
505,15569AS,-11.066,142.692
506,18274AS,-37.680792,144.921009
507,15696AS,-37.756136,144.916806
508,20729AS,-13.271697,143.508447
509,15727AS,-37.66,144.97
510,15755AS,-37.8,144.8
511,12700AS,-33.919539,151.034909
512,15842AS,-19.60675,126.07361
513,20772AS,-16.6888,135.7305
514,15865AS,-15.51558,132.78047
515,15824AS,-20.1008,131.04996
516,15876AS,-19.22333,134.18592
517,15890AS,-28.17608,117.15302
518,15905AS,-33.867139,151.2075
519,15398AS,-14.12779,142.74342
520,15399AS,-13.73431,141.7902
521,15400AS,-13.87081,141.52541
522,20730AS,-33.328054,147.691039
523,15417AS,-15.95438,124.6461
524,15983AS,-26.42627,133.57212
525,15987AS,-15.77551,135.89275
526,20732AS,-18.734286,146.580425
527,16041AS,-21.54524,117.07418
528,16057AS,-33.89748,151.135484
529,19314AU,48.282744,16.21958
530,11880AU,46.755869,15.546984
531,15741AU,48.20091852,16.35639344
532,10375AU,48.20077885,16.35165669
533,10491AU,48.20078305,16.34892574
534,10953AU,46.730589,14.742261
535,19223AU,48.19786444,16.37133381
536,11140AU,47.839464,14.796822
537,10998AU,48.21,16.37
538,21829AU,47.84,16.52
539,11317AU,46.63333,14.308752
