ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded,wwl_2022_rank,private_life,family_life,community_life,national_life,church_life,violence,total_score_wwl_2022,wwl_2021_rank,total_score_wwl_2021,jun07gri,jun07shi,dec18gri,dec18shi,dec19gri,dec19shi,HDI_Rank_2019,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank_2018
ES,El Salvador,6491000,10,1,600,5,spa,Spanish,1,Christianity,94.4546237,44.93680817,N,NAR,North America,11,"America, Latin",72,89,SLV,6550000,1,70,7.7,4.6,10.7,5.7,9.1,7.2,45,74,42,0.6,0.4,2.3,3.1,2.3,2.7,124,0.673,73.3,11.7,6.9,"8,359",-6,124
EK,Equatorial Guinea,1436000,18,2,32000,4,spa,Spanish,1,Christianity,89.26661574,4.725910027,N,AFR,Africa,8,"Africa, West and Central",72,95,GNQ,1497000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0,3.3,0,3.3,0,145,0.592,58.7,9.7,5.9,"13,944",-57,145
ER,Eritrea,3636000,17,9,1416000,4,tir,Tigrigna,6,Islam,50.85406263,2.646526096,Y,AFR,Africa,7,"Africa, East and Southern",40,77,ERI,3662000,31,6,14.6,14.9,15.5,15.9,15.6,11.1,88,6,88,7,0.4,7.7,0.2,6.7,0.1,180,0.459,66.3,5,3.9,"2,793",-17,180
EN,Estonia,1288000,18,3,4700,4,ekk,"Estonian, Standard",7,Non-Religious,47.42446541,4.691166479,N,EUR,Europe,9,"Europe, Eastern and Eurasia",69,99,EST,1322000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,0.8,0.9,0.4,1.4,0.4,29,0.892,78.8,16,13.1,"36,019",9,30
WZ,Eswatini,1160000,10,1,600,5,ssw,Swati,1,Christianity,84.07560914,20.69094986,N,AFR,Africa,7,"Africa, East and Southern",24,88,SWZ,1185000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5,0,2.2,0.3,2.6,0.4,NA,NA,NA,NA,NA,NA,NA,NA
ET,Ethiopia,120507000,128,37,34886000,5,amh,Amharic,1,Christianity,58.35837106,17.96897959,Y,AFR,Africa,7,"Africa, East and Southern",21,52,ETH,120813000,707,38,9.9,10.3,13.1,10.3,12.3,9.8,66,36,65,2.6,5.3,3.9,5.2,3.4,5.9,173,0.485,66.6,8.8,2.9,"2,207",-3,174
FK,Falkland Islands,3800,2,NA,NA,4,eng,English,1,Christianity,64.11889417,9.055028936,N,LAM,South America,11,"America, Latin",78,NA,FLK,4000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FO,Faroe Islands,49000,3,NA,NA,5,dan,Danish,1,Christianity,90.90785875,32.98968055,N,EUR,Europe,10,"Europe, Western",42,NA,FRO,49000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FJ,Fiji,895000,33,1,4500,5,eng,English,1,Christianity,64.28150243,26.31763603,N,SOP,Oceania,1,Australia and Pacific,56,94,FJI,909000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2.6,1.5,0.2,1.5,1,93,0.743,67.4,14.4,10.9,"13,009",1,93
FI,Finland,5506000,59,16,106000,5,fin,Finnish,1,Christianity,80.34777775,10.20707467,N,EUR,Europe,10,"Europe, Western",85,100,FIN,5555000,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.8,2.6,2.2,2.5,3,11,0.938,81.9,19.4,12.8,"48,511",11,11
