,ID3ROG3,Language,BibleStatus,Speakers,masonpop,masonresid,masonscore,Latitude,Longitude
104,12878BT,Kurtokha,1,2122,1.000087929,8.79E-05,4.35E-05,27.77672,91.00441
105,18909BT,Chalikha,1,1788,1.000074023,7.40E-05,3.65E-05,27.32016,91.25909
106,19270BT,Nyenkha,1,12669,1.00052703,0.00052703,0.000264194,27.37319,90.37397
107,19656BT,Tseku,1,22786,1.00094823,0.00094823,0.000475904,27.81285,89.36223
108,19658BT,Lunanakha,1,1233,1.000050917,5.09E-05,2.49E-05,28.12933,90.11325
109,20651BT,Olekha,1,515,1.000021025,2.10E-05,9.86E-06,27.29284,90.55572
110,10973BX,Brunei,1,567895,1.023642666,0.023642666,0.011882976,4.89828,114.88626
111,12589BX,"Kayan, Busang",1,7642,1.000317742,0.000317742,0.000158997,4.077752,114.66944
112,12978BX,"Bajau, West Coast",1,260794,1.010857179,0.010857179,0.005456512,4.828962,115.172442
113,15665BX,Tutong,1,20167,1.000839193,0.000839193,0.000421098,4.73043,114.65553
114,10973CA,Brunei,1,567895,1.023642666,0.023642666,0.011882976,43.590118,-79.590928
115,11701CA,"Ojibwa, Eastern",1,32750,1.001363059,0.001363059,0.000684413,44.86854,-80.12123
116,18984CA,"Ojibwa, Central",1,9109,1.000378817,0.000378817,0.000189696,46.60306,-84.15103
117,19416CA,Grenadian English Creole,1,105847,1.004406295,0.004406295,0.002214057,43.65504,-79.394135
118,14379CB,Phuan,1,363617,1.015137993,0.015137993,0.007608209,13.473672,103.177236
119,10136CD,Mararit,1,176654,1.007354192,0.007354192,0.00369578,14.03813464,21.75803615
120,10807CD,Birgit,1,27349,1.0011382,0.0011382,0.00057139,12.07758,19.7298
121,10810CD,Morom,1,10296,1.000428235,0.000428235,0.000214536,12.13862,17.65083
122,10813CD,Besme,1,4000,1.000166115,0.000166115,8.28E-05,9.59253,16.09542
123,10945CD,Boor,1,271,1.000010866,1.09E-05,4.75E-06,10.103549,17.588316
124,11983CD,Gula,1,47133,1.001961864,0.001961864,0.000985395,10.03793,19.1197
125,12388CD,Kulfa,1,12804,1.000532651,0.000532651,0.000267019,9.88533,19.0078
126,12391CD,Kabalai,1,58267,1.002425404,0.002425404,0.001218387,9.42664,16.30086
127,12434CD,Kajakse,1,43113,1.0017945,0.0017945,0.000901271,12.35732,20.80147
128,13230CD,Majera,1,2234,1.000092591,9.26E-05,4.58E-05,11.423668,15.487135
129,13532CD,Mararit,1,176654,1.007354192,0.007354192,0.00369578,14.1964257,21.46149584
130,13537CD,Marfa,1,19618,1.000816337,0.000816337,0.00040961,13.16375,20.80425
131,13691CD,Masmaje,1,83822,1.003489332,0.003489332,0.001753157,13.08034,19.28436
132,13852CD,Mubi,1,114930,1.004784446,0.004784446,0.00240413,12.70213,19.58251
133,14592CD,Runga,1,101010,1.004204917,0.004204917,0.002112837,10.43613,21.0342
134,15125CD,Assangori,1,22794,1.000948563,0.000948563,0.000476072,13.74642,21.66878
135,15129CD,Surbakhal,1,19936,1.000829576,0.000829576,0.000416264,13.13337,21.62352
136,15316CD,Tedaga,1,138137,1.00575062,0.00575062,0.002889765,20.53525,17.67243
137,18816CD,Disa,1,5992,1.000249048,0.000249048,0.000124469,10.36087,19.17471
138,19007CD,Chadian Sign Language,1,174129,1.007249069,0.007249069,0.003642941,12.11145,15.24809
139,19049CD,Karanga,1,3043,1.000126272,0.000126272,6.28E-05,13.0123,20.51164
140,19287CD,Tamki,1,1353,1.000055913,5.59E-05,2.74E-05,11.50069,18.22723
141,21008CD,Karanga,1,3043,1.000126272,0.000126272,6.28E-05,12.651219,20.333698
142,13437CE,Sri Lankan Malay Creole,1,43228,1.001799288,0.001799288,0.000903678,6.86817,80.02085
143,10233CF,Akwa,1,46436,1.001932846,0.001932846,0.000970809,-0.11802,15.64133
144,10643CF,Ndasa,1,11163,1.000464331,0.000464331,0.000232679,-2.98973,13.26295
145,10928CF,Bomwali,1,66438,1.002765586,0.002765586,0.001389376,1.53062,16.09356
146,11995CF,Gundi,1,19143,1.000796561,0.000796561,0.00039967,2.046845851,16.08932401
147,12822CF,Koyo,1,1575,1.000065155,6.52E-05,3.20E-05,-0.68402,15.71784
148,12904CF,Likwala,1,87345,1.003636004,0.003636004,0.00182688,-0.47751,16.59402
149,13614CF,Ombamba,1,44526,1.001853328,0.001853328,0.00093084,-2.75892,13.63044
150,13792CF,Monzombo,1,33527,1.001395408,0.001395408,0.000700673,2.98154,18.44562
