,ID3ROG3,Latitude,Longitude,PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
88,19052AO,-10.44121,16.76775,19052,AO,nsx,0,Songo,Songo,P,233660,1,5,N,4,NA,2021,1936-1999,N,N,NA,1,Christianity
89,15109AO,-6.995230077,16.60417053,15109,AO,sub,0,Suku,Suku,P,39028,2,5,N,3,NA,NA,1973-1977,N,N,NA,1,Christianity
90,13454AO,-7.93095,15.74211,13454,AO,vaj,0,Northwestern Kung,Northwestern Kung,P,14462,3,2,N,2,NA,NA,NA,N,Y,NA,4,Ethnic Religions
91,15953AO,-6.69586,16.66277,15953,AO,yaf,0,Yaka,Yaka,P,522074,2,5,N,3,NA,NA,1938-1973,Y,Y,NA,1,Christianity
92,16005AO,-14.1932,20.51199,16005,AO,yax,0,Yauma,Yauma,P,44637,2,4,N,3,NA,NA,1978,N,Y,NA,1,Christianity
93,16051AO,-4.78172,12.55489,16051,AO,yom,0,Yombe,Yombe,P,84176,3,5,N,4,NA,2002-2005,Yes,Y,Y,yom,1,Christianity
94,13862AV,18.23061,-63.06438,13862,AV,aig,0,Leeward Caribbean English Creole,Leeward Caribbean English Creole,P,13511,8,5,N,3,NA,NA,2006,N,N,NA,1,Christianity
95,10348AC,17.12797656,-61.82960437,10348,AC,aig,0,Leeward Caribbean English Creole,Leeward Caribbean English Creole,S,NA,8,5,N,3,NA,NA,2006,N,N,NA,1,Christianity
96,13862AC,17.0805,-61.78942,13862,AC,aig,0,Leeward Caribbean English Creole,Leeward Caribbean English Creole,P,2803,8,5,N,3,NA,NA,2006,N,N,NA,1,Christianity
97,14276AR,-34.159273,-58.741756,14276,AR,ajp,0,"Arabic, South Levantine Spoken","Arabic, South Levantine Spoken",P,1189,38,1,Y,3,NA,NA,1940-1946,Y,Y,NA,6,Islam
98,15152AR,-34.996522,-58.216968,15152,AR,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,1508716,120,2,N,3,NA,NA,1939-1981,N,Y,NA,6,Islam
99,11069AR,-34.953609,-58.756308,11069,AR,kea,0,Kabuverdianu,Kabuverdianu,P,NA,18,4,N,3,NA,NA,1936-2013,Y,Y,NA,1,Christianity
100,11369AR,-22.18752,-63.2305,11369,AR,crt,0,"Chorote, Iyojwa'ja","Chorote, Iyojwa'ja",P,943,1,4,N,4,NA,1994-1997,1961-1993,N,Y,371,1,Christianity
101,11370AR,-22.18416,-62.93087,11370,AR,crq,0,"Chorote, Iyo'wujwa","Chorote, Iyo'wujwa",P,1771,2,5,N,4,NA,2015,1995-2011,N,Y,NA,1,Christianity
102,19007AR,-34.79695,-59.17984,19007,AR,aed,0,Argentine Sign Language,Argentine Sign Language,P,230038,1,NA,N,3,NA,NA,2019-2021,N,N,NA,1,Christianity
103,12432AR,-26.61543,-54.34188,12432,AR,kgk,0,Kaiwa,Kaiwa,P,NA,2,5,N,4,NA,1986-2006,1966-2002,Y,Y,611,1,Christianity
