,ID3ROG3,Latitude,Longitude,PeopleID3,ROG3,ROL3,ROL4,Language,LanguageDialect,LanguageRank,Speakers,NbrPGICs,JPScale,LeastReached,BibleStatus,BibleYear,NTYear,PortionsYear,JF,AudioRecordings,YouVersion_ID,RLG3,PrimaryReligion
13930,10278ID,-3.85177,127.19418,10278,ID,amv,0,Ambelau,Ambelau,P,9002,1,4,N,1,NA,NA,NA,N,N,NA,6,Islam
13931,10281ID,-0.76649,133.12903,10281,ID,akc,0,Mpur,Mpur,P,NA,1,4,N,3,NA,NA,1998-2013,N,Y,NA,1,Christianity
13932,10281ID,-0.76649,133.12903,10281,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
13933,10284ID,-3.655991914,128.2198834,10284,ID,abs,733,"Malay, Ambonese","Malay, Ambonese: Melayu Ambon",P,NA,11,5,N,4,NA,1877-1883,1931-2016,Y,Y,NA,1,Christianity
13934,10284ID,-3.655991914,128.2198834,10284,ID,mnb,0,Muna,Muna,S,NA,1,1,Y,4,NA,2004-2012,1993,Y,Y,NA,6,Islam
13935,10300ID,-0.78618,116.38998,10300,ID,apg,0,Ampanang,Ampanang,P,40303,1,1,Y,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
13936,10306ID,-9.65823,119.6185,10306,ID,akg,0,Anakalangu,Anakalangu,P,17443,1,4,N,2,NA,NA,NA,N,Y,NA,1,Christianity
13937,10312ID,-0.88263,123.17591,10312,ID,bzb,0,Andio,Andio,P,338,1,1,Y,3,NA,NA,2022,Y,N,NA,6,Islam
13938,10317ID,3.085543753,97.3799443,10317,ID,min,0,Minangkabau,Minangkabau,P,75707,5,1,Y,4,NA,1996-2010,1980-1990,Y,Y,402,6,Islam
13939,10337ID,-1.71194,135.78784,10337,ID,and,0,Ansus,Ansus,P,7632,1,4,N,3,NA,NA,2019,Y,N,NA,1,Christianity
13940,10358ID,-2.26326,139.4522,10358,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
13941,19204ID,-6.153384,106.737203,19204,ID,apc,0,"Arabic, North Levantine Spoken","Arabic, North Levantine Spoken",P,285779,120,2,N,3,NA,NA,1939-1981,N,Y,NA,6,Islam
13942,21530ID,-2.873292,119.09331,21530,ID,atq,0,Aralle-Tabulahan,Aralle-Tabulahan,P,6230,2,2,N,4,NA,2004,1999-2000,Y,Y,NA,6,Islam
13943,10402ID,-2.08016,132.98337,10402,ID,jbj,0,Arandai,Arandai,P,1610,1,4,N,1,NA,NA,NA,N,Y,NA,1,Christianity
13944,10423ID,-2.647081,132.550199,10423,ID,agf,0,Arguni,Arguni,P,198,1,2,N,1,NA,NA,NA,N,Y,NA,4,Ethnic Religions
13945,10456ID,-3.67074,127.9563,10456,ID,asl,0,Asilulu,Asilulu,P,14132,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
13946,10457ID,-6.2859,138.50704,10457,ID,asc,0,"Asmat, Casuarina Coast","Asmat, Casuarina Coast",P,13833,1,4,N,4,NA,1994,Yes,N,Y,NA,1,Christianity
13947,10458ID,-5.36749,138.568,10458,ID,cns,0,"Asmat, Central","Asmat, Central",P,15831,1,4,N,4,NA,1985,1966-1976,N,Y,NA,1,Christianity
13948,11390ID,-5.5746,139.47612,11390,ID,txt,0,Citak,Citak,P,13747,1,4,N,4,NA,1995,1979-1989,N,Y,NA,1,Christianity
13949,10459ID,-4.85353,138.44492,10459,ID,nks,0,"Asmat, North","Asmat, North",P,1487,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
13950,10460ID,-5.61727,138.59299,10460,ID,asy,0,"Asmat, Yaosakor","Asmat, Yaosakor",P,3058,1,4,N,4,NA,1995,Yes,N,Y,NA,1,Christianity
13951,10493ID,-3.43339,136.08527,10493,ID,auu,0,Auye,Auye,P,545,1,4,N,4,NA,2020,1993-2007,N,Y,NA,1,Christianity
13952,19291ID,-5.0499,139.67062,19291,ID,awh,0,Awbono,Awbono,P,488,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
13953,19495ID,-6.74928,140.12041,19495,ID,awv,0,"Awyu, Jair","Awyu, Jair",P,3026,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
13954,10514ID,-6.25891,139.70576,10514,ID,awu,0,"Awyu, Central","Awyu, Central",P,9871,1,4,N,3,NA,NA,1985,N,Y,NA,1,Christianity
13955,19492ID,-7.11156,139.56904,19492,ID,aws,0,"Awyu, South","Awyu, South",P,12428,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
13956,10516ID,-1.31241,132.58322,10516,ID,ayz,0,Mai Brat,Mai Brat,P,NA,1,1,Y,4,NA,2004-2007,1990-2000,Y,Y,NA,4,Ethnic Religions
13957,10516ID,-1.31241,132.58322,10516,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
13958,10538ID,-7.83755,129.73746,10538,ID,bcd,0,"Babar, North","Babar, North",P,1257,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
13959,10539ID,-7.95521,129.79259,10539,ID,vbb,0,"Babar, Southeast","Babar, Southeast",P,5610,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
13960,10543ID,-2.70181,138.06601,10543,ID,ert,0,Eritai,Eritai,P,741,1,4,N,2,NA,NA,NA,N,Y,NA,1,Christianity
13961,10549ID,-7.27262,107.76377,10549,ID,bac,0,Badui,Badui,P,27527,1,1,Y,1,NA,NA,NA,N,Y,NA,4,Ethnic Religions
13962,10562ID,-1.98707,137.91052,10562,ID,bqb,0,Bagusa,Bagusa,P,477,1,2,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
13963,10565ID,-3.84714,133.0387,10565,ID,bdw,0,Baham,Baham,P,1839,2,4,N,1,NA,NA,NA,N,Y,NA,1,Christianity
13964,10567ID,0.30359,115.32472,10567,ID,bhv,0,Bahau,Bahau,P,23902,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
13965,10582ID,1.0456,120.38878,10582,ID,bdl,0,"Bajau, Indonesian","Bajau, Indonesian",P,352197,1,1,Y,3,NA,NA,2020,Y,Y,NA,6,Islam
13966,10597ID,-1.61448,114.79103,10597,ID,bkr,0,Bakumpai,Bakumpai,P,168213,1,1,Y,3,NA,NA,2021,Y,Y,NA,6,Islam
13967,10602ID,-0.84837,123.303,10602,ID,blz,0,Balantak,Balantak,P,38038,1,2,N,4,NA,2010,1991,Y,Y,337,4,Ethnic Religions
13968,10616ID,-3.04926,119.19516,10616,ID,ptu,0,Bambam,Bambam,P,36522,1,4,N,4,NA,2004-2010,1994-1999,Y,Y,1147,1,Christianity
13969,10651ID,-2.03057,105.901273,10651,ID,mfb,0,Bangka,Bangka,P,NA,2,1,Y,3,NA,NA,2020,Y,Y,NA,6,Islam
13970,10658ID,-2.75805,114.34816,10658,ID,bjn,0,Banjar,Banjar,P,4441102,1,1,Y,3,NA,NA,2006-2019,Y,Y,NA,6,Islam
13971,10662ID,1.51747,124.84944,10662,ID,bnq,0,Bantik,Bantik,P,10314,1,5,N,2,NA,NA,NA,N,N,NA,1,Christianity
13972,10671ID,-1.73291,137.71793,10671,ID,bpo,0,Anasi,Anasi,P,NA,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
13973,10671ID,-1.73291,137.71793,10671,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
13974,10675ID,-6.6996,134.69361,10675,ID,baj,0,Barakai,Barakai,P,5129,1,2,N,1,NA,NA,NA,N,N,NA,6,Islam
13975,10695ID,-2.341,137.07646,10695,ID,brp,0,Barapasi,Barapasi,P,3611,1,4,N,1,NA,NA,NA,N,Y,NA,4,Ethnic Religions
13976,10681ID,-1.56523,119.34186,10681,ID,brs,0,Baras,Baras,P,65,1,1,Y,3,NA,NA,2010,N,N,NA,6,Islam
13977,10701ID,1.04283,117.6511,10701,ID,bdb,0,Basap,Basap,P,18164,1,4,N,1,NA,NA,NA,N,Y,NA,4,Ethnic Religions
13978,10708ID,-2.84838,138.89141,10708,ID,bsa,0,Abinomn,Abinomn,P,423,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
13979,10726ID,-3.61061,130.81359,10726,ID,bvt,0,Bati,Bati,P,5569,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
13980,19796ID,-1.26057,122.53569,19796,ID,zbt,0,Batui,Batui,P,3647,1,1,Y,3,NA,NA,2022,Y,N,NA,6,Islam
13981,19071ID,-2.39795,137.58447,19071,ID,bvz,0,Bauzi,Bauzi,P,2286,1,4,N,4,NA,2008-2019,1985-2011,N,Y,NA,1,Christianity
13982,19292ID,-5.22673,139.61345,19292,ID,byl,0,Bayono,Bayono,P,313,1,1,Y,2,NA,NA,NA,N,N,NA,4,Ethnic Religions
13983,21841ID,-1.498,110.61,21841,ID,ebc,0,Beginci,Beginci,P,7736,1,5,N,2,NA,NA,NA,N,N,NA,4,Ethnic Religions
13984,10764ID,-1.58374,120.36316,10764,ID,bep,0,Behoa,Behoa,P,11993,1,4,N,4,NA,2015,2004-2008,Y,Y,NA,1,Christianity
13985,10768ID,1.56646,114.63461,10768,ID,bkn,0,Bukitan,Bukitan,P,747,2,4,N,2,NA,NA,NA,N,N,NA,1,Christianity
13986,10771ID,-8.30186,124.2838,10771,ID,beu,0,Blagar,Blagar,P,20403,1,4,N,3,NA,NA,2016,N,Y,NA,1,Christianity
13987,10777ID,-3.317006955,104.3726096,10777,ID,mui,0,Musi,Musi,P,87559,7,1,Y,3,NA,NA,2019,Y,Y,NA,6,Islam
13988,10791ID,-3.81055492,102.2691453,10791,ID,pse,7971,"Malay, Central","Malay, Central: Bengkulu",P,69387,10,1,Y,4,NA,1995,Yes,Y,Y,NA,6,Islam
13989,10795ID,-4.758,119.7989,10795,ID,bnu,0,Bentong,Bentong,P,26283,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
13990,13439ID,1.87501,117.80963,13439,ID,bve,0,"Malay, Berau","Malay, Berau",P,23129,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
13991,10809ID,-2.28533,138.91553,10809,ID,bkl,0,Berik,Berik,P,1745,2,4,N,4,NA,1993,1979-1986,N,Y,NA,1,Christianity
13992,20294ID,-3.712512,102.54589,20294,ID,pse,1181,"Malay, Central","Malay, Central: Pasemah",P,746447,10,1,Y,4,NA,1995,Yes,Y,Y,NA,6,Islam
13993,10814ID,-2.17631,139.24555,10814,ID,bfe,0,Betaf,Betaf,P,NA,1,4,N,1,NA,NA,NA,N,Y,NA,1,Christianity
13994,10814ID,-2.17631,139.24555,10814,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
13995,10815ID,-6.21694,106.951,10815,ID,bew,0,Betawi,Betawi,P,5782337,1,1,Y,3,NA,NA,2000-2020,Y,Y,NA,6,Islam
13996,10825ID,-0.69929,135.50659,10825,ID,bhw,0,Biak,Biak,P,NA,1,4,N,4,NA,1990,1870-1980,Y,Y,NA,1,Christianity
13997,10825ID,-0.69929,135.50659,10825,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
13998,19537ID,-2.19424,130.2526,19537,ID,bhc,0,Biga,Biga,P,NA,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
13999,19537ID,-2.19424,130.2526,19537,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
14000,10843ID,-4.003503706,140.8191488,10843,ID,yet,3428,Yetfa,Yetfa: Biksi,P,396,2,4,N,2,NA,NA,NA,N,Y,NA,1,Christianity
14001,19499ID,-10.61967,123.30285,19499,ID,bpz,0,Bilba,Bilba,P,9327,1,4,N,2,NA,NA,NA,N,Y,NA,1,Christianity
14002,10871ID,-2.91897,137.66453,10871,ID,bqq,0,Biritai,Biritai,P,404,1,3,N,2,NA,NA,NA,N,N,NA,1,Christianity
14003,10897ID,-2.9481,127.95508,10897,ID,bzn,0,Boano,Boano,P,5902,1,4,N,1,NA,NA,NA,N,N,NA,6,Islam
14004,19538ID,-0.352,121.90144,19538,ID,bgb,0,Bobongko,Bobongko,P,2035,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14005,10900ID,-3.44545,130.17015,10900,ID,bty,0,Bobot,Bobot,P,8336,1,4,N,1,NA,NA,NA,N,N,NA,6,Islam
14006,10913ID,0.50116,120.99322,10913,ID,bzl,8264,Boano,Boano: Bolano,P,3656,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14007,10922ID,2.79805,117.29013,10922,ID,blj,0,Bulungan,Bulungan,P,40205,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
14008,21465ID,1.274519,100.863546,21465,ID,jax,0,"Malay, Jambi","Malay, Jambi",P,15770,2,1,Y,3,NA,NA,2020,Y,Y,NA,6,Islam
14009,10932ID,-1.95517,137.60105,10932,ID,njs,0,Nisa,Nisa,P,844,1,4,N,1,NA,NA,NA,N,Y,NA,1,Christianity
14010,10933ID,-7.40148,121.78052,10933,ID,bna,0,Bonerate,Bonerate,P,NA,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14011,10933ID,-7.40148,121.78052,10933,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
14012,10934ID,-3.29569,130.5935,10934,ID,bnf,0,Masiwang,Masiwang,P,1574,2,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
14013,10936ID,-2.34052,139.59767,10936,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
14014,19072ID,-2.07756,119.32726,19072,ID,bdx,0,Budong-Budong,Budong-Budong,P,NA,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14015,10993ID,0.8694,110.70412,10993,ID,sdo,0,Bidayuh Serian,Bidayuh Serian,P,11432,2,4,N,2,NA,NA,NA,N,Y,NA,1,Christianity
14016,10994ID,1.24868,113.15692,10994,ID,bvk,0,Bukat,Bukat,P,759,1,1,Y,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
14017,10997ID,0.82728,123.07751,10997,ID,bld,0,Bolango,Bolango,P,24146,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14018,11002ID,1.03074,128.45579,11002,ID,bzq,0,Buli,Buli,P,3424,1,4,N,2,NA,NA,NA,N,N,NA,6,Islam
14019,11015ID,-9.14291,125.14264,11015,ID,bfn,0,Bunak,Bunak,P,24645,2,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
14020,11019ID,-3.04463,122.2353,11019,ID,bkz,0,Bungku,Bungku,P,39950,2,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14021,11021ID,0.98709,121.38885,11021,ID,blf,0,Buol,Buol,P,115648,1,1,Y,3,NA,NA,2021,Y,Y,NA,6,Islam
14022,11030ID,-3.44841,126.61289,11030,ID,mhs,0,Buru,Buru,P,52128,1,2,N,3,NA,NA,1904-1998,N,Y,NA,4,Ethnic Religions
14023,11036ID,3.31487,117.00218,11036,ID,bqr,0,Burusu,Burusu,P,5481,1,2,N,2,NA,NA,NA,N,Y,NA,4,Ethnic Religions
14024,11041ID,-1.75094,136.02177,11041,ID,bsm,0,Busami,Busami,P,1051,1,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
14025,11084ID,-3.4584,119.17463,11084,ID,cml,0,Koneq-koneq,Koneq-koneq,P,76950,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14026,11384ID,-5.57123,122.76795,11384,ID,cia,0,Cia-Cia,Cia-Cia,P,91467,1,1,Y,3,NA,NA,2020,Y,Y,NA,6,Islam
14027,11391ID,-5.58752,139.23353,11391,ID,tml,0,"Citak, Tamnim","Citak, Tamnim",P,430,1,4,N,4,NA,2000,Yes,N,Y,NA,1,Christianity
14028,21467ID,-3.198813,122.149638,21467,ID,bkz,0,Bungku,Bungku,P,2103,2,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14029,11461ID,-2.09111,139.04428,11461,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
14030,19073ID,-7.55246,129.68354,19073,ID,dij,0,Dai,Dai,P,1001,1,4,N,4,NA,2018,Yes,N,Y,NA,1,Christianity
14031,11480ID,-4.2999,137.46222,11480,ID,uhn,0,Damal,Damal,P,19269,1,4,N,4,NA,1988-1992,1973-1992,N,Y,NA,1,Christianity
14032,11481ID,-7.157304,128.641055,11481,ID,dmr,0,"Damar, East","Damar, East",P,4345,1,4,N,1,NA,NA,NA,N,Y,NA,1,Christianity
14033,11482ID,-7.12163,128.58383,11482,ID,drn,0,"Damar, West","Damar, West",P,1427,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
14034,11492ID,-4.095909479,138.9448687,11492,ID,dni,0,"Dani, Lower Grand Valley","Dani, Lower Grand Valley",P,19624,2,5,N,4,NA,1988-1994,1970-1994,N,Y,NA,1,Christianity
14035,11493ID,-4.07424,138.9163,11493,ID,dnt,0,"Dani, Mid Grand Valley","Dani, Mid Grand Valley",P,77531,1,4,N,4,NA,1990,1977-1995,N,N,NA,1,Christianity
14036,11494ID,-3.94794,138.88982,11494,ID,dna,0,"Dani, Upper Grand Valley","Dani, Upper Grand Valley",P,28580,1,4,N,4,NA,1992,1994,N,Y,NA,1,Christianity
14037,11500ID,-3.25283,136.42266,11500,ID,daz,0,Dao,Dao,P,380,1,3,N,4,NA,2020,Yes,N,N,NA,1,Christianity
14038,11516ID,-4.515593761,104.0743545,11516,ID,ljp,0,Lampung Api,Lampung Api,P,94620,6,1,Y,4,NA,2002,1999-2000,Y,Y,NA,6,Islam
14039,19646ID,-1.978397802,115.5728485,19646,ID,lbx,4634,Lawangan,Lawangan: Dayak Pasir,P,63079,2,1,Y,3,NA,NA,2021,Y,Y,NA,6,Islam
14040,15475ID,3.95048,117.38348,15475,ID,itd,0,"Tidung, Southern","Tidung, Southern",P,52565,2,2,N,3,NA,NA,2021,Y,Y,NA,6,Islam
14041,14232ID,-0.36072,113.49914,14232,ID,otd,0,Ot Danum,Ot Danum,P,95423,1,4,N,4,NA,1998,1994,Y,Y,NA,4,Ethnic Religions
14042,12495ID,-0.51785,111.61137,12495,ID,knl,0,Keninjal,Keninjal,P,40234,1,4,N,1,NA,NA,NA,N,Y,NA,4,Ethnic Religions
14043,14829ID,0.34496,109.53511,14829,ID,knx,0,Kendayan,Kendayan,P,388717,2,5,N,3,NA,NA,2019,Y,Y,NA,4,Ethnic Religions
14044,14329ID,-1.185719867,116.2774082,14329,ID,lbx,0,Lawangan,Lawangan,P,134354,2,1,Y,3,NA,NA,2021,Y,Y,NA,6,Islam
14045,13176ID,-2.0992,115.14368,13176,ID,mhy,0,Ma'anyan,Ma'anyan,P,NA,1,4,N,4,NA,1999,1950,Y,Y,NA,4,Ethnic Religions
14046,13176ID,-2.0992,115.14368,13176,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
14047,13446ID,-1.64107,111.6278,13446,ID,xdy,0,Malayic Dayak,Malayic Dayak,P,718786,1,4,N,4,NA,2021,2018,Y,Y,NA,6,Islam
14048,18944ID,1.07442,113.02593,18944,ID,tmn,0,Taman,Taman,P,36328,1,2,N,2,NA,NA,NA,N,Y,NA,4,Ethnic Religions
14049,15304ID,-1.15726,115.36853,15304,ID,twy,0,Tawoyan,Tawoyan,P,37120,1,2,N,3,NA,NA,1984-1985,N,Y,NA,4,Ethnic Religions
14050,15643ID,-0.98,115.84987,15643,ID,tjg,0,Tunjung,Tunjung,P,59905,1,5,N,3,NA,NA,1984,Y,Y,NA,1,Christianity
14051,19007ID,-6.216039306,106.8998578,19007,ID,bqy,0,Kata Kolok,Kata Kolok,S,NA,NA,NA,N,2,NA,NA,NA,N,N,NA,NA,NA
14052,19007ID,-6.216039306,106.8998578,19007,ID,inl,0,Indonesian Sign Language,Indonesian Sign Language,P,NA,1,NA,N,2,NA,NA,NA,N,N,NA,6,Islam
14053,19536ID,-10.85346,122.84359,19536,ID,row,0,Dela-Oenale,Dela-Oenale,P,9215,1,4,N,4,NA,2016,Yes,N,Y,NA,1,Christianity
14054,11530ID,-3.71715,137.55232,11530,ID,dem,0,Dem,Dem,P,NA,1,3,N,2,NA,NA,NA,N,Y,NA,1,Christianity
14055,11530ID,-3.71715,137.55232,11530,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
14056,11531ID,-2.59698,136.55287,11531,ID,dei,0,Demisa,Demisa,P,741,1,4,N,1,NA,NA,NA,N,Y,NA,1,Christianity
14057,19498ID,-10.78578,122.94553,19498,ID,dnk,0,Dengka,Dengka,P,26303,1,4,N,3,NA,NA,2004,N,N,NA,1,Christianity
14058,19293ID,-5.15437,139.43191,19293,ID,diy,0,Diuwe,Diuwe,P,149,1,1,Y,2,NA,NA,NA,N,N,NA,6,Islam
14059,11582ID,-6.22673,134.70424,11582,ID,kvo,0,Dobel,Dobel,P,6548,1,4,N,3,NA,NA,1991-2016,N,Y,NA,1,Christianity
14060,11604ID,0.79851,120.74005,11604,ID,dok,0,Dondo,Dondo,P,15244,1,1,Y,2,NA,NA,NA,N,N,NA,6,Islam
14061,11616ID,-3.11334,137.37468,11616,ID,dbf,0,Edopi,Edopi,P,1711,1,4,N,3,NA,NA,1997-2003,N,N,NA,1,Christianity
14062,11623ID,-0.16955,103.44726,11623,ID,dup,0,Duano,Duano,P,20501,2,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14063,11646ID,-3.3677,119.87582,11646,ID,mvp,0,Duri,Duri,P,147185,1,1,Y,4,NA,2005,1998,Y,Y,NA,6,Islam
14064,12927ID,2.445251,117.716852,12927,ID,dkr,0,Kuijau,Kuijau,P,10686,2,4,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
14065,11649ID,-2.00103,115.60785,11649,ID,dun,0,Dusun Deyah,Dusun Deyah,P,37114,1,4,N,1,NA,NA,NA,N,Y,NA,4,Ethnic Religions
14066,11653ID,-1.52233,115.05937,11653,ID,duw,0,Dusun Witu,Dusun Witu,P,6498,1,4,N,4,NA,2017,Yes,N,Y,NA,4,Ethnic Religions
14067,11663ID,-3.19037,138.01225,11663,ID,duv,0,Duvle,Duvle,P,1259,1,4,N,1,NA,NA,NA,N,Y,NA,1,Christianity
14068,11729ID,-3.8329,135.92095,11729,ID,ekg,0,Ekari,Ekari,P,171666,1,4,N,4,NA,1963-1985,1955-1989,N,Y,NA,1,Christianity
14069,11749ID,0.99495,112.65859,11749,ID,emb,0,Embaloh,Embaloh,P,15234,1,4,N,4,NA,1998,Yes,N,Y,NA,4,Ethnic Religions
14070,11756ID,-8.037463,129.760935,11756,ID,abs,0,"Malay, Ambonese","Malay, Ambonese",P,NA,11,5,N,4,NA,1877-1883,1931-2016,Y,Y,NA,1,Christianity
14071,11757ID,-3.75459,140.91024,11757,ID,enr,0,Emem,Emem,P,2577,1,3,N,1,NA,NA,NA,N,N,NA,1,Christianity
14072,11758ID,-8.75223,121.55303,11758,ID,end,0,Ende,Ende,P,130426,1,4,N,3,NA,NA,2009,Y,Y,NA,1,Christianity
14073,11763ID,-5.3953,102.25631,11763,ID,eno,0,Enggano,Enggano,P,2063,1,4,N,2,NA,NA,NA,Y,N,NA,1,Christianity
14074,11142ID,-3.750355167,103.8006269,11142,ID,pse,9634,"Malay, Central","Malay, Central: Enim",P,139913,10,1,Y,4,NA,1995,Yes,Y,Y,NA,6,Islam
14075,11143ID,-3.53848,119.65983,11143,ID,ptt,0,Enrekang,Enrekang,P,NA,1,1,Y,3,NA,NA,2020,Y,N,NA,6,Islam
14076,11143ID,-3.53848,119.65983,11143,ID,wmm,0,Maiwa,Maiwa,S,NA,2,1,Y,3,NA,NA,2020,Y,N,NA,6,Islam
14077,11150ID,-2.83578,132.70891,11150,ID,erw,0,Erokwanas,Erokwanas,P,282,1,2,N,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
14078,11193ID,-3.05797,136.78099,11193,ID,fau,0,Fayu,Fayu,P,1597,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
14079,11226ID,-7.23154,131.54717,11226,ID,frd,0,Fordata,Fordata,P,68797,1,2,N,4,NA,2016,1996-2004,Y,Y,NA,6,Islam
14080,11218ID,-2.96633,139.28819,11218,ID,flh,0,Foau,Foau,P,411,1,4,N,2,NA,NA,NA,N,N,NA,1,Christianity
14081,11807ID,2.289273181,128.213609,11807,ID,gbi,0,Galela,Galela,P,NA,1,4,N,4,NA,2002,1990-2000,Y,Y,NA,6,Islam
14082,19647ID,-7.9004,126.37037,19647,ID,gal,9999,Galolen,Galolen: Galoli,P,14960,3,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
14083,11813ID,1.3447,127.50474,11813,ID,gak,0,Gamkonora,Gamkonora,P,2458,1,4,N,1,NA,NA,NA,N,N,NA,6,Islam
14084,11816ID,-0.43198,127.96181,11816,ID,gzn,0,Gane,Gane,P,5256,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14085,11837ID,4.41819,97.34887,11837,ID,gay,0,Gayo,Gayo,P,346940,1,1,Y,3,NA,NA,2020,Y,N,NA,6,Islam
14086,11854ID,-0.17927,129.53231,11854,ID,gei,0,Gebe,Gebe,P,3599,1,4,N,1,NA,NA,NA,N,N,NA,6,Islam
14087,21840ID,-0.984,110.2,21840,ID,gef,0,Gerai,Gerai,P,2062,1,4,N,4,NA,1997,Yes,N,N,NA,4,Ethnic Religions
14088,11874ID,-3.46754,130.76909,11874,ID,ges,0,Geser-Gorom,Geser-Gorom,P,NA,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14089,11892ID,-4.033722179,139.6800687,11892,ID,kkl,18423,"Yale, Kosarek","Yale, Kosarek: Gilika",P,1199,2,4,N,3,NA,NA,1992-2015,N,N,NA,1,Christianity
14090,11922ID,-4.68949,140.05982,11922,ID,mtg,0,Una,Una,P,6143,1,4,N,4,NA,2007,1999,N,Y,mtg,1,Christianity
14091,11944ID,-2.70821,140.25864,11944,ID,pmy,0,"Malay, Papuan","Malay, Papuan",S,NA,1,1,Y,3,NA,NA,2013-2017,Y,Y,2690,6,Islam
14092,12031ID,-7.84511,125.89647,12031,ID,ilu,0,Iliuun,Iliuun,P,2173,1,2,N,1,NA,NA,NA,N,Y,NA,4,Ethnic Religions
14093,12047ID,-8.24647,124.53798,12047,ID,hmu,0,Hamap,Hamap,P,1745,1,4,N,1,NA,NA,NA,N,N,NA,1,Christianity
14094,12082ID,-10.22539,123.41414,12082,ID,heg,0,Helong,Helong,P,18923,1,4,N,4,NA,2011,2002-2004,N,Y,1045,1,Christianity
14095,12110ID,-3.56847,128.19865,12110,ID,htu,0,Hitu,Hitu,P,18654,1,1,Y,1,NA,NA,NA,N,N,NA,6,Islam
14096,12135ID,-2.948,129.20108,12135,ID,hud,0,Huaulu,Huaulu,P,503,1,1,Y,1,NA,NA,NA,N,N,NA,4,Ethnic Religions
14097,12195ID,-2.83524,132.29336,12195,ID,ihp,0,Iha,Iha,P,NA,1,4,N,1,NA,NA,NA,N,Y,NA,1,Christianity
